name,url,description,group
"9-visual-studio-code-extensions-that-make-programming-even-easier","https://www.makeuseof.com/tag/extensions-visual-studio-code/","","vscode"
"run-vs-code-on-a-remote-server","https://githut.com/cdr/code-server","","vscode"
